yearmonth,sold,vehicle-inventory,new-vehicle-inventory,used-vehicle-inventory,website-users,new-website-users,website-pageviews,days-per-month,sandp500,dow-jones-industrial-average,dow-percent-change-yoy,umich-consumer-confidence,auto-loan-interest-rates,gas-prices,brand-demand-index,vehicle-demand-index,competitor-store-interest-index,our-store-demand-index,public-transit-demand-index,userspersale,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,q2,q3,q4,manager-bob-working,manager-tom-working
2014-1,85,428,321,107,4609,3873,35037,31,1822.36,16243.72238,19.30472,81.2,4.23,3.252,331,452,359,62,69,54.22352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2,94,400,310,90,4695,3925,32705,28,1817.03,15958.44316,14.2555,81.6,4.23,3.305,377,564,351,94,63,49.94680851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-3,118,375,281,94,5088,4242,36421,31,1863.52,16308.62762,13.11094,80,4.23,3.474,455,604,437,111,79,43.11864407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-4,88,360,250,110,4663,3844,32045,30,1864.26,16399.50238,11.74437,84.1,4.5,3.59,339,490,322,112,77,52.98863636,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-5,103,387,268,119,4371,3629,30758,31,1889.77,16567.25476,9.19495,81.9,4.5,3.601,337,468,276,99,71,42.4368932,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2014-6,116,379,245,134,4423,3674,31089,30,1947.09,16843.75476,12.02467,82.5,4.5,3.626,488,513,335,48,61,38.12931034,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2014-7,108,387,246,141,5023,4242,35785,31,1973.1,16988.26409,10.38357,81.8,4.16,3.539,324,470,354,91,65,46.50925926,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014-8,98,408,274,134,5001,4125,40312,31,1961.53,16775.15429,10.39665,82.5,4.16,3.425,520,538,475,123,70,51.03061224,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2014-9,94,446,315,131,5466,4577,38828,30,1993.23,17098.12667,11.97318,84.6,4.16,3.354,368,435,252,63,74,58.14893617,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2014-10,103,486,361,125,5241,4357,31682,31,1937.27,16701.87043,9.23901,86.9,4.06,3.12,395,381,260,82,58,50.88349515,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
